action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Checks,0,1,0,2.25,34.15,3
Checks,0,0,0,2.25,24.85,3
Calls,0,0,1,1.75,26.15,2
Bets,0,0,0,1.25,35.25,2
Checks,0,1,0,2.75,58.95,2
Checks,0,0,0,2.75,19.0,2
Bets,0,0,0,0.25,28.2,2
Folds,0,0,1,0.75,24.6,2
Raises,0,0,1,3.0,49.39,1
Bets,0,0,0,2.5,31.380000000000003,1
Calls,0,0,2,5.25,29.630000000000003,1
Calls,0,0,1,1.25,19.0,2
Bets,0,0,0,0.25,17.75,2
Checks,0,0,0,0.25,133.3,2
Calls,0,1,1,1.25,132.3,2
Bets,0,1,0,0.25,67.0,2
Folds,0,0,1,1.25,93.38,2
Bets,0,0,0,0.25,90.97,2
Calls,0,0,1,1.75,18.95,2
Bets,0,0,0,0.5,23.75,2
Checks,0,1,0,0.5,18.65,1
Checks,0,0,0,0.5,20.0,1
Folds,0,0,1,0.75,28.65,2
Bets,0,0,0,0.25,26.91,2
Folds,0,0,1,0.75,27.15,2
Bets,0,0,0,0.25,105.33,2
Checks,0,1,0,0.25,98.95,2
Checks,0,0,0,0.25,10.83,2
Checks,0,1,0,0.25,112.06,2
Checks,0,0,0,0.25,23.45,2
Checks,0,0,0,3.75,111.35,2
Checks,0,1,0,3.75,35.4,2
Checks,0,1,0,0.25,115.4,2
Checks,0,0,0,0.25,34.65,2
Checks,0,0,0,0.5,101.3,2
Folds,0,1,1,1.0,101.3,2
Bets,0,1,0,0.5,34.35,2
Bets,0,0,0,2.25,14.75,2
Calls,0,0,2,11.25,11.75,2
Raises,0,0,1,5.25,11.7,2
Folds,0,1,1,1.25,4.25,3
Bets,0,1,0,0.75,99.5,3
Checks,0,0,0,0.75,31.2,3
Calls,1,1,1,1.25,30.7,2
Checks,0,0,0,0.25,39.15,2
Folds,0,1,1,1.25,39.15,2
Bets,0,1,0,0.25,27.37,2
Checks,0,0,0,0.5,68.95,1
Calls,0,1,1,1.5,67.95,1
Bets,0,1,0,0.5,17.75,1
Bets,0,0,0,1.25,47.75,2
Folds,0,0,1,2.25,38.35,2
Checks,0,0,0,3.75,35.25,2
Checks,0,1,0,3.75,48.4,2
Bets,0,1,0,6.75,37.95,2
Checks,0,0,0,6.75,32.6,2
Folds,0,1,1,14.25,32.6,2
Bets,0,0,0,1.25,51.6,2
Calls,0,0,1,1.75,31.35,2
Checks,0,0,0,7.25,98.25,2
Checks,0,1,0,7.25,91.17,2
Calls,0,0,1,4.5,19.55,2
Bets,0,0,0,3.0,13.15,2
Checks,0,1,0,3.75,28.72,3
Folds,0,3,1,11.75,28.72,3
Checks,0,0,0,3.75,7.279999999999999,3
Calls,0,2,1,7.75,3.2799999999999994,3
Bets,0,2,0,3.75,15.510000000000002,3
Folds,0,0,1,0.75,31.11,2
Bets,0,0,0,0.25,35.57,2
Checks,0,1,0,4.75,110.85,2
Checks,0,0,0,4.75,32.9,2
Checks,0,0,0,0.25,92.75,3
Checks,0,1,0,0.25,24.0,3
Folds,0,0,1,24.95,61.5,2
All-In,0,0,0,13.25,0.25,2
Bets,0,1,0,48.949999999999996,38.89999999999999,3
Checks,0,0,0,48.949999999999996,197.35,3
Folds,0,1,1,63.949999999999996,197.35,3
Checks,0,0,0,10.5,38.77,2
Calls,0,1,1,16.12,33.150000000000006,2
Bets,0,1,0,10.5,31.63,2
Calls,0,0,1,4.25,97.9,2
Bets,0,0,0,1.75,17.0,2
Bets,0,0,0,6.5,97.8,2
Calls,0,0,1,11.5,28.25,2
Checks,0,0,0,2.25,121.37,2
Folds,0,1,1,5.25,121.37,2
Bets,0,1,0,2.25,14.379999999999999,2
Checks,0,1,0,3.75,119.12,2
Checks,0,0,0,3.75,17.98,2
Bets,0,0,0,3.25,188.85,2
Folds,0,0,1,6.25,20.28,2
Bets,0,1,0,0.5,44.15,1
Checks,0,0,0,0.5,93.25,1
Folds,0,1,1,1.5,93.25,1
Checks,0,0,0,0.25,79.87,2
Checks,0,1,0,0.25,99.75,2
Checks,0,0,0,0.75,51.9,3
Folds,0,2,1,2.25,51.9,3
Checks,0,1,0,0.75,82.0,3
Folds,1,2,1,2.25,82.0,2
Bets,0,2,0,0.75,12.45,3
Bets,0,0,0,8.25,68.25,2
Folds,0,0,1,17.25,11.4,2
Raises,0,0,1,17.5,3.9499999999999993,1
Calls,0,0,3,45.25,3.1999999999999993,1
Bets,0,0,0,8.5,10.25,1
All-In,0,0,2,35.5,0.5,1
Checks,0,0,0,7.25,43.95,2
Folds,0,1,1,12.75,43.95,2
Bets,0,1,0,7.25,38.88,2
Checks,0,0,0,0.25,110.05,2
Folds,0,1,1,1.25,110.05,2
Bets,0,1,0,0.25,99.0,2
Bets,0,1,0,13.0,77.18,2
Folds,1,1,2,18.0,77.18,1
Raises,0,1,1,13.5,18.45,2
Checks,0,0,0,13.0,33.15,2
Folds,0,1,2,18.0,33.15,2
Checks,0,0,0,0.5,155.35,1
Checks,0,1,0,0.5,87.0,1
Calls,0,1,1,1.25,113.65,3
Bets,0,1,0,0.75,23.75,3
Checks,0,0,0,0.75,41.15,3
Folds,0,2,1,1.75,41.15,3
Calls,0,0,1,1.5,30.32,1
Bets,0,0,0,0.5,79.63,1
Folds,0,0,1,1.25,51.5,2
Bets,0,0,0,0.25,98.75,2
Checks,0,2,0,0.75,40.6,3
Checks,0,1,0,0.75,18.5,3
Checks,0,0,0,0.75,20.0,3
Checks,0,1,0,0.5,59.31,2
Checks,0,0,0,0.5,22.5,2
Checks,0,1,0,0.25,60.51,2
Checks,0,0,0,0.25,21.75,2
Checks,0,0,0,0.25,59.76,2
Checks,0,1,0,0.25,58.5,2
Bets,0,1,0,2.25,97.7,3
Checks,0,0,0,2.25,107.63,3
Folds,0,1,1,5.25,107.63,3
Checks,0,1,0,0.25,98.55,2
Checks,0,0,0,0.25,19.25,2
Raises,0,0,2,7.75,42.75,3
Bets,0,0,0,3.75,45.55,3
Folds,0,0,3,18.75,45.55,3
Raises,0,0,1,4.75,60.230000000000004,3
Calls,1,0,3,18.75,52.230000000000004,2
Bets,0,1,0,0.5,56.4,1
Checks,0,0,0,0.5,74.79,1
Folds,0,1,1,1.0,74.79,1
Bets,0,0,0,2.75,57.8,2
Folds,0,0,1,5.0,40.83,2
Bets,0,0,0,5.5,24.08,2
Calls,0,1,1,6.5,46.75,2
Calls,0,0,1,6.0,168.39,2
Checks,0,1,0,0.5,25.55,2
Checks,0,0,0,0.5,28.85,2
Checks,0,0,0,0.25,42.89,2
Checks,0,1,0,0.25,20.0,2
Checks,0,1,0,2.5,68.25,2
Checks,0,0,0,2.5,54.68,2
Checks,0,1,0,8.05,63.85,2
Checks,0,0,0,8.05,53.58,2
Checks,0,0,0,4.25,102.15,2
Folds,0,1,1,6.25,102.15,2
Bets,0,1,0,4.25,63.900000000000006,2
Bets,0,0,0,2.25,93.4,2
Calls,0,0,1,4.75,70.05,2
Checks,0,1,0,2.25,95.8,2
Checks,0,0,0,2.25,74.6,2
Checks,0,0,0,0.5,92.4,2
Checks,0,1,0,0.5,72.35,2
Bets,0,0,0,11.25,87.25,2
Folds,0,0,1,17.25,67.2,2
Folds,0,0,2,3.75,8.07,3
Raises,0,0,1,1.75,18.0,3
Bets,0,0,0,0.75,28.23,3
Calls,1,0,2,3.75,27.23,2
Checks,0,1,0,3.0,102.65,2
Checks,0,0,0,3.0,65.95,2
Checks,0,0,0,3.25,105.01,2
Calls,0,1,1,5.75,102.51,2
Bets,0,1,0,3.25,190.42,2
Checks,0,0,0,1.7400000000000002,180.60999999999999,2
Checks,0,1,0,1.7400000000000002,131.34,2
Bets,0,0,0,6.25,175.25,3
Calls,0,0,1,10.25,124.34,3
Folds,0,0,1,4.5,66.17,2
Bets,0,0,0,3.5,17.9,2
Bets,0,1,0,0,108.46,1
Checks,0,0,0,0,50.0,1
Folds,0,1,1,1.5,50.0,1
Checks,0,1,0,0.25,66.17,2
Checks,0,0,0,0.25,49.25,2
Checks,0,1,0,4.25,102.85,2
Checks,0,0,0,4.25,38.55,2
Checks,0,2,0,0.75,17.62,3
Checks,0,0,0,0.75,54.93,3
Checks,0,1,0,0.75,106.88,3
Bets,0,0,0,2.25,101.35,2
Calls,0,0,1,2.75,41.55,2
Checks,0,1,0,3.25,99.35,2
Checks,0,0,0,3.25,43.35,2
Bets,0,0,0,9.25,94.4,2
Folds,0,0,1,12.75,37.85,2
Checks,0,1,0,0.25,41.65,2
Checks,0,0,0,0.25,37.1,2
Bets,0,0,0,3.0,43.42,2
Folds,0,0,1,3.5,97.45,2
Checks,0,1,0,2.5,153.12,2
Checks,0,0,0,2.5,7.199999999999999,2
Checks,0,1,0,0.25,153.12,2
Checks,0,0,0,0.25,9.55,2
Calls,0,0,1,1.25,67.48,3
Bets,0,0,0,0.75,84.75,3
Calls,0,1,1,1.75,111.41,3
Folds,0,0,1,1.0,66.23,2
Bets,0,0,0,0.5,84.75,2
Checks,0,1,0,2.25,67.77,2
Checks,0,0,0,2.25,38.55,2
Calls,1,0,1,1.25,36.9,2
Bets,0,0,0,0.75,19.5,3
Folds,0,0,1,1.25,15.9,3
Bets,0,0,0,2.25,37.75,2
Calls,0,0,2,3.75,37.25,2
Raises,0,0,1,2.75,18.0,2
Bets,0,0,0,2.25,34.66,2
Folds,0,0,1,5.25,14.8,2
Checks,0,0,0,0.25,67.2,2
