action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Checks,0,1,0,0.25,36.55,2
Checks,0,0,0,0.25,55.75,2
Bets,0,1,0,0.25,39.45,2
Checks,0,0,0,0.25,52.0,2
Calls,0,1,1,0.75,51.5,2
Checks,0,1,0,0.25,39.2,2
Checks,0,0,0,0.25,52.65,2
Bets,0,0,0,2.25,37.9,2
Folds,0,0,2,6.25,37.9,2
Raises,0,0,1,3.25,47.9,2
Checks,0,1,0,2.25,36.15,2
Checks,0,0,0,2.25,53.4,2
Bets,0,1,0,1.25,37.75,2
Checks,0,0,0,1.25,52.15,2
Calls,0,1,1,1.75,51.65,2
Checks,0,0,0,2.25,33.5,2
Checks,0,1,0,2.25,55.45,2
Bets,0,1,0,2.25,26.75,2
Checks,0,0,0,2.25,58.85,2
Folds,0,1,1,5.25,58.85,2
Bets,0,0,0,8.25,22.1,2
Folds,0,0,1,14.5,54.1,2
Checks,0,1,0,0.25,36.15,2
Checks,0,0,0,0.25,53.85,2
Checks,0,0,0,2.25,35.37,2
Checks,0,1,0,2.25,52.58,2
Checks,0,1,0,0.25,37.47,2
Checks,0,0,0,0.25,52.33,2
Checks,0,0,0,2.25,34.22,2
Checks,0,1,0,2.25,53.33,2
Checks,0,0,0,2.25,30.47,2
Calls,0,1,1,4.25,28.47,2
Bets,0,1,0,2.25,54.73,2
Checks,0,1,0,0.25,23.22,2
Checks,0,0,0,0.25,65.48,2
Bets,0,1,0,2.25,21.17,2
Checks,0,0,0,2.25,62.48,2
Calls,0,1,1,5.25,59.48,2
Bets,0,1,0,1.25,26.97,2
Checks,0,0,0,1.25,58.23,2
Calls,0,1,1,3.25,56.23,2
Bets,0,1,0,0.25,37.22,2
Checks,0,0,0,0.25,49.48,2
Calls,0,1,1,1.25,48.48,2
Bets,0,1,0,2.25,32.97,2
Checks,0,0,0,2.25,50.33,2
Folds,0,1,1,4.5,50.33,2
Checks,0,0,0,2.25,36.82,2
Checks,0,1,0,2.25,48.58,2
Bets,0,1,0,0.25,29.07,2
Checks,0,0,0,0.25,56.83,2
Folds,0,1,1,1.25,56.83,2
Checks,0,0,0,8.25,26.77,2
Checks,0,1,0,8.25,52.08,2
Checks,0,0,0,2.25,25.77,2
Checks,0,1,0,2.25,58.63,2
Checks,0,1,0,0.25,26.27,2
Checks,0,0,0,0.25,59.63,2
Checks,0,1,0,0.25,29.12,2
Checks,0,0,0,0.25,56.63,2
Checks,0,0,0,2.25,27.62,2
Calls,0,1,1,4.25,25.62,2
Bets,0,1,0,2.25,53.98,2
Checks,0,1,0,0.25,35.37,2
Checks,0,0,0,0.25,49.73,2
Bets,0,1,0,2.25,30.369999999999997,2
Checks,0,0,0,2.25,49.68,2
Folds,0,1,1,5.25,49.68,2
Bets,0,1,0,0.25,34.22,2
Checks,0,0,0,0.25,49.68,2
Folds,0,1,1,1.25,49.68,2
Checks,0,0,0,8.25,31.92,2
Calls,0,1,1,12.25,27.92,2
Bets,0,1,0,8.25,40.93,2
Bets,0,1,0,0.25,26.17,2
Checks,0,0,0,0.25,57.18,2
Folds,0,1,1,1.25,57.18,2
Checks,0,0,0,2.25,26.87,2
Checks,0,1,0,2.25,55.43,2
Checks,0,1,0,0.25,28.97,2
Checks,0,0,0,0.25,55.18,2
Bets,0,0,0,2.25,24.72,2
Calls,0,0,1,5.25,51.38,2
Bets,0,1,0,0.25,16.47,2
Folds,0,1,2,4.25,16.47,2
Checks,0,0,0,0.25,66.13,2
Raises,0,1,1,1.25,63.129999999999995,2
Checks,0,0,0,1.25,16.47,2
Checks,0,1,0,1.25,65.98,2
Bets,0,1,0,0.25,37.47,2
Checks,0,0,0,0.25,74.48,2
Calls,0,1,1,1.25,73.48,2
Bets,0,1,0,0.25,36.47,2
Checks,0,0,0,0.25,75.73,2
Calls,0,1,1,0.75,75.23,2
Checks,0,1,0,0.25,34.47,2
Checks,0,0,0,0.25,78.03,2
Checks,0,1,0,0.25,34.42,2
Checks,0,0,0,0.25,78.03,2
Checks,0,0,0,2.25,34.12,2
Calls,0,1,1,4.25,32.12,2
Bets,0,1,0,2.25,74.28,2
Checks,0,1,0,0.25,38.02,2
Checks,0,0,0,0.25,74.03,2
Checks,0,0,0,2.25,37.72,2
Calls,0,1,1,4.25,35.72,2
Bets,0,1,0,2.25,70.28,2
All-In,0,0,1,15.25,0.25,2
Bets,0,0,0,8.25,57.03,2
Calls,0,0,2,54.47,24.810000000000002,2
Checks,0,0,0,1.25,82.8,2
Folds,0,1,1,3.25,82.8,2
Bets,0,1,0,1.25,123.38,2
Bets,0,0,0,0.25,81.05,2
Folds,0,0,1,1.25,127.03,2
Bets,0,1,0,2.25,78.0,2
Checks,0,0,0,2.25,126.78,2
Folds,0,1,1,4.5,126.78,2
Checks,0,0,0,1.25,82.35,2
Raises,0,1,1,2.25,78.85,2
Bets,0,1,0,1.25,124.53,2
Calls,0,1,2,5.75,122.03,2
Raises,0,0,1,3.25,74.1,2
Bets,0,0,0,2.25,128.33,2
Folds,0,0,2,6.25,128.33,2
Checks,0,1,0,2.25,130.97,2
Checks,0,0,0,2.25,41.27,2
Checks,0,0,0,0.25,80.6,2
Folds,0,1,1,0.75,80.6,2
Bets,0,1,0,0.25,127.08,2
Bets,0,1,0,0.25,66.07,2
Checks,0,0,0,0.25,92.65,2
Calls,0,1,1,1.25,91.65,2
Bets,0,0,0,9.25,124.07,2
Folds,0,0,1,14.25,36.02,2
Bets,0,1,0,2.25,75.85,2
Checks,0,0,0,2.25,128.03,2
Calls,0,1,1,4.5,125.78,2
Checks,0,0,0,0.25,62.82,2
Checks,0,1,0,0.25,96.45,2
Bets,0,1,0,1.25,59.57,2
Calls,0,1,2,4.75,58.07,2
Checks,0,0,0,1.25,97.55,2
Raises,0,1,1,2.25,95.05,2
Checks,0,0,0,0.25,83.65,2
Checks,0,1,0,0.25,124.03,2
Checks,0,1,0,2.25,136.82,2
Checks,0,0,0,2.25,34.77,2
Bets,0,0,0,0.25,57.32,2
Folds,0,0,1,0.75,100.95,2
Calls,0,0,1,5.75,79.9,2
Bets,0,0,0,5.25,121.73,2
Checks,0,0,0,8.25,54.77,2
Checks,0,1,0,8.25,95.95,2
Checks,0,0,0,2.25,135.57,2
Folds,0,1,1,4.25,135.57,2
Bets,0,1,0,2.25,33.87,2
Bets,0,0,0,5.25,54.82,2
Folds,0,0,1,11.25,92.45,2
Checks,0,0,0,2.25,133.82,2
Checks,0,1,0,2.25,37.47,2
Checks,0,0,0,0.25,66.52,2
Checks,0,1,0,0.25,91.45,2
Bets,0,1,0,1.25,63.269999999999996,2
Checks,0,0,0,1.25,91.65,2
Calls,0,1,1,3.25,89.65,2
Bets,0,1,0,2.25,127.57,2
Checks,0,0,0,2.25,41.32,2
Calls,0,1,1,4.25,39.32,2
Bets,0,0,0,0.25,73.52,2
Folds,0,0,1,1.25,82.9,2
Checks,0,1,0,0.25,74.72,2
Checks,0,0,0,0.25,82.65,2
Checks,0,0,0,0.25,67.47,2
Checks,0,1,0,0.25,89.4,2
Bets,0,1,0,2.25,130.22,2
Checks,0,0,0,2.25,38.32,2
Calls,0,1,1,4.25,36.32,2
Bets,0,1,0,2.25,64.22,2
Checks,0,0,0,2.25,89.1,2
Folds,0,1,1,3.75,89.1,2
Checks,0,1,0,1.25,67.82,2
Checks,0,0,0,1.25,87.85,2
Checks,0,0,0,2.25,66.57,2
Folds,0,1,1,3.75,66.57,2
Bets,0,1,0,2.25,86.5,2
Bets,0,1,0,2.25,61.81999999999999,2
Raises,0,1,2,12.75,49.81999999999999,2
Folds,0,1,4,73.25,49.81999999999999,2
Checks,0,0,0,2.25,89.6,2
Raises,0,1,1,5.25,82.1,2
Raises,0,1,3,24.75,33.599999999999994,2
Bets,0,0,0,9.25,128.97,2
Calls,0,0,1,16.25,20.07,2
Bets,0,0,0,0.25,47.07,2
Calls,0,0,1,2.75,103.85,2
Checks,0,1,0,0.25,40.32,2
Checks,0,0,0,0.25,115.1,2
Bets,0,0,0,8.25,28.020000000000003,2
Folds,0,0,1,17.25,110.35,2
Checks,0,1,0,2.25,43.82,2
Checks,0,0,0,2.25,109.1,2
Bets,0,1,0,2.25,115.72,2
Checks,0,0,0,2.25,51.82,2
Calls,0,1,1,4.25,49.82,2
Bets,0,1,0,2.25,39.57,2
Checks,0,0,0,2.25,110.2,2
Folds,0,1,1,5.25,110.2,2
Checks,0,0,0,0.25,115.47,2
Folds,0,1,1,1.25,115.47,2
Bets,0,1,0,0.25,54.72,2
Bets,0,0,0,2.25,41.17,2
Calls,0,0,1,5.25,105.45,2
Checks,0,0,0,0.25,49.72,2
Checks,0,1,0,0.25,104.45,2
Bets,0,0,0,9.25,100.22,2
Folds,0,0,1,19.25,51.92,2
Checks,0,0,0,0.25,49.75,2
Raises,0,1,1,0.75,47.75,2
Bets,0,1,0,0.25,24.5,2
Calls,0,1,2,2.75,23.0,2
Bets,0,0,0,2.25,45.72,2
Calls,0,0,1,5.25,100.4,2
Folds,0,0,1,11.25,49.25,2
Bets,0,0,0,5.25,14.25,2
Checks,0,1,0,1.25,44.47,2
Checks,0,0,0,1.25,108.2,2
Bets,0,1,0,2.25,114.72,2
Checks,0,0,0,2.25,51.42,2
Folds,0,1,1,4.75,51.42,2
Bets,0,1,0,2.25,41.37,2
Checks,0,0,0,2.25,107.2,2
Calls,0,1,1,5.25,104.2,2
Checks,0,0,0,0.25,119.82,2
Checks,0,1,0,0.25,50.67,2
Bets,0,0,0,0.25,21.12,2
Folds,0,0,1,1.25,130.95,2
Bets,0,1,0,1.25,19.82,2
Checks,0,0,0,1.25,130.2,2
Folds,0,1,1,3.25,130.2,2
Checks,0,0,0,0.25,49.0,2
Checks,0,1,0,0.25,25.2,2
Bets,0,0,0,9.25,104.57,2
Calls,0,0,1,19.25,36.87,2
Bets,0,0,0,2.25,19.47,2
All-In,0,0,2,12.25,0.5,2
Raises,0,0,1,5.25,121.44999999999999,2
